tweet_text,username,mentions,date,image,link,quote,reply
hey wanna know a secret ʸᵒᵘʳᵉ ᵃⁿ ᵃᵐᵃᶻᶦⁿᵍ ᵖᵉʳˢᵒⁿ ᵃⁿᵈ ʸᵒᵘ ᵈᵉˢᵉʳᵛᵉ ᵃˡˡ ᵒᶠ ᵗʰᵉ ˡᵒᵛᵉ ᶦⁿ ᵗʰᵉ ʷᵒʳˡᵈ :⁾,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-04 09:58:00,False,https://web.archive.org/web/20190917200301/https://twitter.com/nekrovevo/status/1169293583502827520,False,False
"from my tweets and my sona, make assumptions about me and ill reveal whos right :)",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-04 11:22:00,True,https://web.archive.org/web/20190917235613/https://twitter.com/nekrovevo/status/1169314788133883904,False,False
idk about that,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Shawn_the_cat,2019-09-04 13:26:00,False,https://web.archive.org/web/20190918022713/https://twitter.com/nekrovevo/status/1169346094137888768,False,True
:) thanks,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,klebe_ryan,2019-09-04 13:26:00,False,https://web.archive.org/web/20190918023045/https://twitter.com/nekrovevo/status/1169346060784820225,False,True
thank you :),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,GD_DakSen,2019-09-04 13:25:00,False,https://web.archive.org/web/20190918023346/https://twitter.com/nekrovevo/status/1169345856505430016,False,True
youre like really straight,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:26:00,False,https://web.archive.org/web/20190918023532/https://twitter.com/nekrovevo/status/1169345969038622720,False,True
depends on my mood but ya totally accurate XD,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CaroMarlowe,2019-09-04 13:26:00,False,https://web.archive.org/web/20190918023604/https://twitter.com/nekrovevo/status/1169345935261847552,False,True
really dont know about that,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Shawn_the_cat,2019-09-04 13:29:00,False,https://web.archive.org/web/20190918023619/https://twitter.com/nekrovevo/status/1169346854326173696,False,True
S T A H P,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Shawn_the_cat,2019-09-04 13:31:00,False,https://web.archive.org/web/20190918025035/https://twitter.com/nekrovevo/status/1169347181335080960,False,True
heres my 3rd picturewhats yours,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-04 13:33:00,True,https://web.archive.org/web/20190918025211/https://twitter.com/nekrovevo/status/1169347686132146176,False,False
u date wamen,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:37:00,False,https://web.archive.org/web/20190918025354/https://twitter.com/nekrovevo/status/1169348740479475713,False,True
show me 1 man ive dated,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:40:00,False,https://web.archive.org/web/20190918032006/https://twitter.com/nekrovevo/status/1169349575741558784,False,True
awww,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:44:00,False,https://web.archive.org/web/20190918034129/https://twitter.com/nekrovevo/status/1169350554029449217,False,True
proof?,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:42:00,False,https://web.archive.org/web/20190918034559/https://twitter.com/nekrovevo/status/1169349974573731841,False,True
thought so bitch,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,Untokurd,2019-09-04 13:44:00,False,https://web.archive.org/web/20190918034829/https://twitter.com/nekrovevo/status/1169350455974977536,False,True
i lost my virginity to nothing you sinners,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:10:00,False,https://web.archive.org/web/20190918141537/https://twitter.com/nekrovevo/status/1174324846924156929,True,False
PFFFFFT,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:12:00,False,https://web.archive.org/web/20190918143543/https://twitter.com/nekrovevo/status/1174325302350110721,False,True
no u,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:22:00,False,https://web.archive.org/web/20190918144130/https://twitter.com/nekrovevo/status/1174327953896833024,False,True
,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:15:00,True,https://web.archive.org/web/20190918144829/https://twitter.com/nekrovevo/status/1174326106754707456,False,True
bet,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-18 07:07:00,False,https://web.archive.org/web/20190918150712/https://twitter.com/nekrovevo/status/1174324072412377088,False,True
no,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:25:00,False,https://web.archive.org/web/20190918151251/https://twitter.com/nekrovevo/status/1174328698880684033,False,True
idk,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:24:00,False,https://web.archive.org/web/20190918151728/https://twitter.com/nekrovevo/status/1174328314078457856,False,True
:),🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,VadermCat,2019-09-18 07:11:00,False,https://web.archive.org/web/20190918151804/https://twitter.com/nekrovevo/status/1174325053271330818,False,True
daily reminder ur a hoe,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,HyenaVibes,2019-09-18 07:54:00,False,https://web.archive.org/web/20190918151929/https://twitter.com/nekrovevo/status/1174336018192846849,False,True
EXCUSE,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,CrusaderJackson,2019-09-18 07:07:00,False,https://web.archive.org/web/20190918153558/https://twitter.com/nekrovevo/status/1174323985678393344,False,True
"petition to rename @FoxWithGuitar to ""Ketuwu""",🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 08:05:00,False,https://web.archive.org/web/20190918153828/https://twitter.com/nekrovevo/status/1174338582003118080,False,False
KDWNDNDSKND,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,FerdyDrolfVent,2019-09-18 07:26:00,False,https://web.archive.org/web/20190918154953/https://twitter.com/nekrovevo/status/1174328749514321921,False,True
good morning bitcheshave a great dayor im giving you stitches,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,,2019-09-18 07:14:00,False,https://web.archive.org/web/20190918155412/https://twitter.com/nekrovevo/status/1174325736808693761,False,False
drip too hard,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,SyncDoesStuff,2019-09-18 08:46:00,False,https://web.archive.org/web/20190918155543/https://twitter.com/nekrovevo/status/1174349058195902464,False,True
credit to @LevelFoxx,🏳️‍🌈𝐍𝐄𝐊𝐑𝐎ツ🏳️‍🌈,NekroVEVO,2019-09-18 08:48:00,False,https://web.archive.org/web/20190918160331/https://twitter.com/nekrovevo/status/1174349573982056452,False,True
